time,cycle,gps_attitude,temperature,pressure,uv_index,ambient_light,gps_location,co2,SCD_41_temperature,humidity,TSL2591_full_spectrum,TSL2591_infra_red,TSL2591_visiblle,pm2.5,
1609459221,1,Acceleration info x = 239 y = -245 z = 92 roll = -69.42344 pitch = -42.40687,16.16,97649.56,0,32,Waiting for GPS fix...,239,21.80896,29.66659,4455,1890,2565,None,
1609459222,2,Acceleration info x = 185 y = -194 z = 121 roll = -58.05202 pitch = -38.98011,15.72,97739.27,0,0,Waiting for GPS fix...,239,21.80896,29.66659,3879,1593,2286,None,
1609459223,3,Acceleration info x = 197 y = -219 z = 111 roll = -63.12651 pitch = -38.74522,15.33,97806.27,0,0,Waiting for GPS fix...,239,21.80896,29.66659,34355,13522,20833,None,
1609459224,4,Acceleration info x = 200 y = -218 z = 104 roll = -64.50061 pitch = -39.62874,14.9,97884.5,0,0,Waiting for GPS fix...,0,19.81956,29.82834,26866,11479,15387,None,
1609459226,5,Acceleration info x = 211 y = -169 z = 113 roll = -56.23591 pitch = -46.06845,14.72,97966.65,0,0,Waiting for GPS fix...,0,19.81956,29.82834,3896,1679,2217,None,
1609459227,6,Acceleration info x = 229 y = -192 z = 65 roll = -71.30215 pitch = -48.48924,14.44,98071.16,0,0,Waiting for GPS fix...,0,19.81956,29.82834,4664,2178,2486,None,
1609459228,7,Acceleration info x = 221 y = -247 z = 123 roll = -63.53249 pitch = -38.69494,14.24,98151.48,0,0,Waiting for GPS fix...,0,19.81956,29.82834,3192,1255,1937,None,
1609459229,8,Acceleration info x = 209 y = -241 z = 104 roll = -66.66301 pitch = -38.53118,13.89,98247.85,0,0,Waiting for GPS fix...,0,18.682,30.5684,37889,14827,23062,None,
1609459230,9,Acceleration info x = 260 y = -239 z = 88 roll = -69.79139 pitch = -45.59489,13.7,98340.03,0,0,Waiting for GPS fix...,0,18.682,30.5684,3867,1608,2259,None,
1609459231,10,Acceleration info x = 246 y = -237 z = 84 roll = -70.48931 pitch = -44.37605,13.44,98419.31,0,0,Waiting for GPS fix...,0,18.682,30.5684,20859,9154,11705,None,
1609459232,11,Acceleration info x = 201 y = -214 z = 134 roll = -57.95078 pitch = -38.52495,13.22,98517.17,0,0,Latitude: 51.84808, Longitude: -0.9683567,0,18.682,30.5684,11116,4868,6248,None,
1609459234,12,Acceleration info x = 201 y = -242 z = 92 roll = -69.19003 pitch = -37.82742,13.02,98606.23,0,0,Waiting for GPS fix...,0,17.64325,31.4641,37889,15615,22274,None,
1609459235,13,Acceleration info x = 192 y = -209 z = 100 roll = -64.43508 pitch = -39.65105,12.85,98690.65,0,0,Waiting for GPS fix...,0,17.64325,31.4641,28955,12212,16743,None,
1609459236,14,Acceleration info x = 187 y = -206 z = 107 roll = -62.55646 pitch = -38.85702,12.61,98761.47,0,0,Waiting for GPS fix...,0,17.64325,31.4641,4385,1881,2504,None,
1609459237,15,Acceleration info x = 204 y = -222 z = 125 roll = -60.62221 pitch = -38.68761,12.45,98834.11,0,0,Waiting for GPS fix...,0,17.64325,31.4641,3071,1185,1886,None,
1609459238,16,Acceleration info x = 220 y = -259 z = 107 roll = -67.55811 pitch = -38.13698,12.42,98934.59,0,0,Waiting for GPS fix...,0,16.67926,32.47272,3341,1319,2022,None,
1609459239,17,Acceleration info x = 225 y = -248 z = 110 roll = -66.08527 pitch = -39.67315,12.27,99022.73,0,0,Waiting for GPS fix...,0,16.67926,32.47272,26626,11468,15158,None,
1609459240,18,Acceleration info x = 158 y = -176 z = 122 roll = -55.27507 pitch = -36.42268,12.12,99105.82,0,0,Waiting for GPS fix...,0,16.67926,32.47272,2944,1113,1831,None,
1609459241,19,Acceleration info x = 210 y = -225 z = 105 roll = -64.98789 pitch = -40.22653,11.91,99186.68,0,0,Latitude: 51.84832, Longitude: -0.9680216,0,16.67926,32.47272,10336,4779,5557,None,
1609459243,20,Acceleration info x = 209 y = -222 z = 115 roll = -62.61964 pitch = -39.89653,11.71,99270.33,0,0,Waiting for GPS fix...,222,15.8648,33.60494,7840,3469,4371,None,
1609459244,21,Acceleration info x = 198 y = -225 z = 104 roll = -65.19737 pitch = -38.62057,11.59,99383.22,0,0,Latitude: -0.9678934, Longitude: 15.002,222,15.8648,33.60494,4301,1885,2416,None,
1609459245,22,Acceleration info x = 203 y = -240 z = 113 roll = -64.79214 pitch = -37.42791,11.55,99458.98,0,0,Waiting for GPS fix...,222,15.8648,33.60494,3686,1500,2186,None,
1609459246,23,Acceleration info x = 216 y = -229 z = 100 roll = -66.4149 pitch = -40.84341,11.43,99555.66,0,0,Waiting for GPS fix...,222,15.8648,33.60494,7954,3587,4367,None,
1609459247,24,Acceleration info x = 198 y = -213 z = 121 roll = -60.40462 pitch = -38.95024,11.32,99625.93,0,0,Waiting for GPS fix...,0,15.07706,35.02556,4261,1763,2498,None,
1609459248,25,Acceleration info x = 217 y = -243 z = 124 roll = -62.96996 pitch = -38.50253,11.24,99714.92,0,0,Waiting for GPS fix...,0,15.07706,35.02556,18909,8393,10516,None,
1609459249,26,Acceleration info x = 192 y = -215 z = 110 roll = -62.90908 pitch = -38.48796,11.06,99807.65,0,0,Waiting for GPS fix...,0,15.07706,35.02556,37458,14663,22795,None,
1609459251,27,Acceleration info x = 213 y = -232 z = 127 roll = -61.30761 pitch = -38.84856,10.99,99888.44,0,0,Latitude: 51.84856, Longitude: -0.9676667,0,15.07706,35.02556,3588,1440,2148,None,
1609459252,28,Acceleration info x = 203 y = -222 z = 123 roll = -61.01567 pitch = -38.65746,10.89,99973.41,0,0,Waiting for GPS fix...,0,15.07706,35.02556,37878,15051,22827,None,
1609459253,29,Acceleration info x = 237 y = -172 z = 114 roll = -56.46811 pitch = -48.95844,10.84,100060.8,0,0,Waiting for GPS fix...,3603,14.34806,36.55146,4269,1882,2387,None,
1609459254,30,Acceleration info x = 200 y = -173 z = 134 roll = -52.24369 pitch = -42.42939,10.87,100154.4,0,0,Waiting for GPS fix...,3603,14.34806,36.55146,6334,2952,3382,None,
1609459255,31,Acceleration info x = 233 y = -272 z = 117 roll = -66.73009 pitch = -38.20224,10.84,100249.1,0,0,Latitude: -0.9674717, Longitude: 11.002,3603,14.34806,36.55146,7421,3228,4193,None,
1609459256,32,Acceleration info x = 253 y = -236 z = 84 roll = -70.4129 pitch = -45.28742,10.82,100341.1,0,0,Waiting for GPS fix...,3603,14.34806,36.55146,30418,12868,17550,None,
1609459257,33,Acceleration info x = 153 y = -188 z = 119 roll = -57.67131 pitch = -34.51687,10.72,100423.2,0,0,Waiting for GPS fix...,0,13.66179,38.19028,3939,1659,2280,None,
1609459258,34,Acceleration info x = 261 y = -240 z = 82 roll = -71.14165 pitch = -45.82478,10.75,100509.2,0,0,Waiting for GPS fix...,0,13.66179,38.19028,4468,1950,2518,None,
1609459260,35,Acceleration info x = 221 y = -215 z = 144 roll = -56.19125 pitch = -40.50183,10.68,100587.1,0,0,Waiting for GPS fix...,0,13.66179,38.19028,3513,1382,2131,None,
1609459261,36,Acceleration info x = 244 y = -249 z = 91 roll = -69.92972 pitch = -42.62902,10.66,100699.4,0,0,Waiting for GPS fix...,0,13.66179,38.19028,7843,3413,4430,None,
1609459262,37,Acceleration info x = 238 y = -227 z = 83 roll = -69.92078 pitch = -44.56158,10.67,100786.4,0,0,Latitude: 51.84892, Longitude: -0.967185,0,13.18113,39.82757,4841,2121,2720,None,
1609459263,38,Acceleration info x = 236 y = -230 z = 137 roll = -59.22413 pitch = -41.4008,10.66,100883.5,0,0,Waiting for GPS fix...,0,13.18113,39.82757,34610,13744,20866,None,
1609459264,39,Acceleration info x = 215 y = -205 z = 86 roll = -67.24631 pitch = -44.0458,10.64,100986.7,0,0,Latitude: -0.9671366, Longitude: 11.0,0,13.18113,39.82757,4677,2021,2656,None,
1609459265,40,Acceleration info x = 218 y = -208 z = 124 roll = -59.20292 pitch = -41.99798,10.62,101059.1,0,0,Waiting for GPS fix...,0,13.18113,39.82757,2841,1049,1792,None,
1609459266,41,Acceleration info x = 206 y = -225 z = 113 roll = -63.33784 pitch = -39.29187,10.65,101180.7,0,0,Latitude: 9.533334, Longitude: 9.416666,5213,12.78057,41.38705,4182,1736,2446,None,
1609459268,42,Acceleration info x = 208 y = -219 z = 95 roll = -66.55418 pitch = -41.06941,10.65,101271.9,0,0,Waiting for GPS fix...,5213,12.78057,41.38705,4862,2122,2740,None,
1609459269,43,Acceleration info x = 205 y = -238 z = 109 roll = -65.39783 pitch = -38.06808,10.62,101380.4,0,0,Waiting for GPS fix...,5213,12.78057,41.38705,37889,16001,21888,None,
1609459270,44,Acceleration info x = 213 y = -218 z = 98 roll = -65.79896 pitch = -41.70918,10.64,101456.4,0,0,Waiting for GPS fix...,5213,12.78057,41.38705,4163,1763,2400,None,
1609459272,45,Acceleration info x = 196 y = -219 z = 137 roll = -57.97538 pitch = -37.19194,10.64,101546.1,0,0,Latitude: 51.85043, Longitude: -0.9657417,0,12.40406,42.63829,4769,2115,2654,None,
1609459273,46,Acceleration info x = 511 y = -512 z = 511 roll = -45.05933 pitch = -35.24056,10.8,101681.0,0,0,Latitude: 51.85047, Longitude: -0.9657001,0,12.40406,42.63829,8221,4406,3815,None,
1609459274,47,Acceleration info x = -2 y = -1 z = -202 roll = -179.7296 pitch = 0.5673013,10.92,101688.5,0,0,Latitude: 51.85052, Longitude: -0.9656516,0,12.40406,42.63829,1585,946,639,None,
1609459275,48,Acceleration info x = -2 y = 0 z = -203 roll = 180.0133 pitch = 0.5645137,11.01,101691.7,0,0,Latitude: 51.85052, Longitude: -0.9656617,0,12.40406,42.63829,1540,921,619,None,
1609459276,49,Acceleration info x = -4 y = 1 z = -204 roll = 179.7324 pitch = 1.123372,11.08,101688.9,0,0,Waiting for GPS fix...,0,12.17441,43.95972,1517,908,609,None,
1609459277,50,Acceleration info x = -7 y = 4 z = -205 roll = 178.8954 pitch = 1.955454,11.16,101690.6,0,0,Latitude: 51.85052, Longitude: -0.9656716,0,12.17441,43.95972,1500,898,602,None,
1609459279,51,Acceleration info x = -4 y = 4 z = -205 roll = 178.8954 pitch = 1.117694,11.23,101689.3,0,0,Latitude: 51.85051, Longitude: -0.9656767,0,12.17441,43.95972,1492,893,599,None,
1609459280,52,Acceleration info x = -1 y = 3 z = -206 roll = 179.1788 pitch = 0.2781236,11.32,101688.2,0,0,Waiting for GPS fix...,0,12.17441,43.95972,1489,892,597,None,
1609459281,53,Acceleration info x = -2 y = 2 z = -205 roll = 179.4543 pitch = 0.5589801,11.39,101687.6,0,0,Latitude: -0.9656767, Longitude: 0.01666667,0,12.17441,45.33455,1480,887,593,None,
1609459282,54,Acceleration info x = -4 y = 4 z = -204 roll = 178.8899 pitch = 1.12317,11.47,101687.2,0,0,Waiting for GPS fix...,0,12.17441,45.33455,1476,884,592,None,
1609459283,55,Acceleration info x = -4 y = 1 z = -202 roll = 179.7296 pitch = 1.134491,11.57,101688.6,0,0,Latitude: 0.01666667, Longitude: 9.416666,0,12.17441,45.33455,1471,881,590,None,
1609459284,56,Acceleration info x = -2 y = 4 z = -200 roll = 178.8674 pitch = 0.5728664,11.67,101689.1,0,0,Waiting for GPS fix...,0,12.17441,45.33455,1456,873,583,None,
1609459285,57,Acceleration info x = -4 y = 3 z = -204 roll = 179.1707 pitch = 1.123264,11.76,101688.9,0,0,Waiting for GPS fix...,0,12.21714,46.54459,1456,873,583,None,
1609459286,58,Acceleration info x = -1 y = 2 z = -207 roll = 179.4596 pitch = 0.2767965,11.84,101689.2,0,0,Waiting for GPS fix...,0,12.21714,46.54459,1452,871,581,None,
1609459288,59,Acceleration info x = -5 y = 5 z = -205 roll = 178.616 pitch = 1.396869,11.93,101689.6,0,0,Waiting for GPS fix...,0,12.21714,46.54459,1444,866,578,None,
1609459289,60,Acceleration info x = -3 y = 6 z = -205 roll = 178.3367 pitch = 0.8381179,12.04,101688.9,0,0,Waiting for GPS fix...,0,12.21714,46.54459,1437,862,575,None,
1609459290,61,Acceleration info x = -4 y = 2 z = -206 roll = 179.457 pitch = 1.112429,12.13,101688.0,0,0,Waiting for GPS fix...,0,12.25986,47.71038,1437,862,575,None,
1609459291,62,Acceleration info x = -4 y = 4 z = -208 roll = 178.9115 pitch = 1.101584,12.2,101689.5,0,0,Latitude: 0.01666667, Longitude: 0.05,0,12.25986,47.71038,1435,861,574,None,
